type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload
Role_20,3.3187924E7,9.051252E7,7.2410016E7,4.2239176E7,8.7495436E7,6.51690144E7,3.25845072E8,7942.0,11143.0,9938.0,9390.0,11129.0,9908.4,49542.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0026323430172974964,0.0036933012140198947,0.003293908953148139,0.0031122766220628927,0.00368866097198487,0.0032840981557026583,0.01642049077851329,Karel de Groot,7.2410016E7,11129,3017084,0.00368866097198487,Magdalena Predutta,4.2239176E7,9938,3017084,0.003293908953148139,Pedro Alvares,9.051252E7,9390,3017084,0.0031122766220628927,Francois de Perrier,8.7495436E7,11143,3017084,0.0036933012140198947,Karalda Nimwada,3.3187924E7,7942,3017084,0.0026323430172974964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,101756.0,106181.0,106161.0,101756.0,106181.0,104699.33333333333,314098.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.03372660489399699,0.03519325282292439,0.0351866239057315,0.03372660489399699,0.03519325282292439,0.03470216054088429,0.10410648162265287,Karel de Groot,7.2410016E7,101756,3017084,0.03372660489399699,Magdalena Predutta,4.2239176E7,106161,3017084,0.0351866239057315,Francois de Perrier,8.7495436E7,106181,3017084,0.03519325282292439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,892337.0,909420.0,896750.0,892337.0,909420.0,899502.3333333334,2698507.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.2957614040576928,0.3014234936780017,0.29722407463630446,0.2957614040576928,0.3014234936780017,0.29813632412399965,0.8944089723719989,Karel de Groot,7.2410016E7,909420,3017084,0.3014234936780017,Magdalena Predutta,4.2239176E7,892337,3017084,0.2957614040576928,Francois de Perrier,8.7495436E7,896750,3017084,0.29722407463630446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,6034168.0,8.7495436E7,5.4307512E7,3.3187924E7,7.2410016E7,5.5169536E7,7.72373504E8,16114.0,22998.0,18620.0,18378.0,19639.0,19186.785714285714,268615.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,4.2239176E7,0.005340918582313253,0.007622591880106752,0.006171521906582648,0.006091312008548652,0.006509265237560505,0.006359380684888359,0.08903132958843703,Kim Passa,6.3358764E7,21423,3017084,0.007100564651166491,Clement Duchot,6034168.0,21095,3017084,0.0069918504092030586,Nico Ojenbeer,5.4307512E7,18378,3017084,0.006091312008548652,Fjodor Kowalski,7.2410016E7,16114,3017084,0.005340918582313253,Elvira Lores,3.3187924E7,22998,3017084,0.007622591880106752,Esmana Liubiata,5.4307512E7,18576,3017084,0.0061569382887582845,Alberto Duport,6.6375848E7,17732,3017084,0.005877197983218233,Christian Francois,7.2410016E7,19267,3017084,0.00638596737777271,Anna Kaufmann,8.7495436E7,18620,3017084,0.006171521906582648,Miu Hanwan,2.1119588E7,19160,3017084,0.006350502670790737,Tesca Lobes,8.4478352E7,19639,3017084,0.006509265237560505,Anne Olwada,7.8444184E7,18020,3017084,0.005972654390795881,Immanuel Karagianni,4.8273344E7,18426,3017084,0.006107221409811593,Penn Osterwalder,3.017084E7,19167,3017084,0.006352822791808249,,,,,,,,,,
Role_8,6034168.0,8.7495436E7,5.4307512E7,3.3187924E7,7.2410016E7,5.5169536E7,7.72373504E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,4.2239176E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kim Passa,6.3358764E7,0,3017084,0.0,Clement Duchot,6034168.0,0,3017084,0.0,Nico Ojenbeer,5.4307512E7,0,3017084,0.0,Fjodor Kowalski,7.2410016E7,0,3017084,0.0,Elvira Lores,3.3187924E7,0,3017084,0.0,Esmana Liubiata,5.4307512E7,0,3017084,0.0,Alberto Duport,6.6375848E7,0,3017084,0.0,Christian Francois,7.2410016E7,0,3017084,0.0,Anna Kaufmann,8.7495436E7,0,3017084,0.0,Miu Hanwan,2.1119588E7,0,3017084,0.0,Tesca Lobes,8.4478352E7,0,3017084,0.0,Anne Olwada,7.8444184E7,0,3017084,0.0,Immanuel Karagianni,4.8273344E7,0,3017084,0.0,Penn Osterwalder,3.017084E7,0,3017084,0.0,,,,,,,,,,
Role_1,6034168.0,8.7495436E7,5.4307512E7,3.3187924E7,7.2410016E7,5.5169536E7,7.72373504E8,23854.0,36189.0,28844.0,27559.0,32725.0,29715.214285714286,416013.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,4.2239176E7,0.007906309535962538,0.01199469421467881,0.009560224375589146,0.00913431644594582,0.010846565756869878,0.009848984743452383,0.13788578640833335,Kim Passa,6.3358764E7,27559,3017084,0.00913431644594582,Clement Duchot,6034168.0,23854,3017084,0.007906309535962538,Nico Ojenbeer,5.4307512E7,33193,3017084,0.011001682419183556,Fjodor Kowalski,7.2410016E7,25358,3017084,0.008404804108868033,Elvira Lores,3.3187924E7,28844,3017084,0.009560224375589146,Esmana Liubiata,5.4307512E7,31710,3017084,0.010510148209330598,Alberto Duport,6.6375848E7,29670,3017084,0.009833998655655594,Christian Francois,7.2410016E7,28736,3017084,0.009524428222747527,Anna Kaufmann,8.7495436E7,28252,3017084,0.009364008426679536,Miu Hanwan,2.1119588E7,36189,3017084,0.01199469421467881,Tesca Lobes,8.4478352E7,25270,3017084,0.008375636873219306,Anne Olwada,7.8444184E7,33399,3017084,0.011069960266270346,Immanuel Karagianni,4.8273344E7,31254,3017084,0.010359008897332656,Penn Osterwalder,3.017084E7,32725,3017084,0.010846565756869878,,,,,,,,,,
Role_2,2.1119588E7,5.4307512E7,4.8273344E7,2.1119588E7,5.4307512E7,4.1233481333333336E7,1.23700444E8,26157.0,34238.0,32577.0,26157.0,34238.0,30990.666666666668,92972.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.008669629350724076,0.011348043342512174,0.010797511769642476,0.008669629350724076,0.011348043342512174,0.010271728154292907,0.030815184462878724,Heinz Gutschmidt,5.4307512E7,32577,3017084,0.010797511769642476,Maris Freeman,2.1119588E7,34238,3017084,0.011348043342512174,Francis Odell,4.8273344E7,26157,3017084,0.008669629350724076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_3,6034168.0,8.7495436E7,5.4307512E7,3.017084E7,7.2410016E7,5.39303765E7,8.62886024E8,1477.0,2068.0,1664.0,1547.0,1723.0,1674.625,26794.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,4.8273344E7,4.895455346950897E-4,6.854300377450545E-4,5.515259104486318E-4,5.127467448702124E-4,5.710812161676638E-4,5.550475227073558E-4,0.008880760363317693,Kim Passa,6.3358764E7,1688,3017084,5.594806110801025E-4,Clement Duchot,6034168.0,1843,3017084,6.108547193250172E-4,Nico Ojenbeer,5.4307512E7,1477,3017084,4.895455346950897E-4,Francis Odell,4.8273344E7,1629,3017084,5.399253053610705E-4,Fjodor Kowalski,7.2410016E7,1519,3017084,5.034662608001633E-4,Esmana Liubiata,5.4307512E7,1713,3017084,5.677667575712178E-4,Alberto Duport,6.6375848E7,1664,3017084,5.515259104486318E-4,Christian Francois,7.2410016E7,1784,3017084,5.912994136059851E-4,Anna Kaufmann,8.7495436E7,2068,3017084,6.854300377450545E-4,Heinz Gutschmidt,5.4307512E7,1723,3017084,5.710812161676638E-4,Miu Hanwan,2.1119588E7,1609,3017084,5.332963881681783E-4,Maris Freeman,2.1119588E7,1547,3017084,5.127467448702124E-4,Tesca Lobes,8.4478352E7,1707,3017084,5.657780824133501E-4,Anne Olwada,7.8444184E7,1738,3017084,5.76052904062333E-4,Immanuel Karagianni,4.8273344E7,1582,3017084,5.243473499577738E-4,Penn Osterwalder,3.017084E7,1503,3017084,4.981631270458496E-4
Role_4,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,246424.0,262653.0,251529.0,246424.0,262653.0,253535.33333333334,760606.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0816762145170635,0.08705524937323587,0.08336824563054923,0.0816762145170635,0.08705524937323587,0.08403323650694954,0.2520997095208486,Karel de Groot,7.2410016E7,246424,3017084,0.0816762145170635,Magdalena Predutta,4.2239176E7,251529,3017084,0.08336824563054923,Francois de Perrier,8.7495436E7,262653,3017084,0.08705524937323587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_18,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,62417.0,65223.0,62417.0,62417.0,65223.0,63820.0,127640.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.020687856221437654,0.02161789330360043,0.020687856221437654,0.020687856221437654,0.02161789330360043,0.021152874762519043,0.042305749525038086,Pedro Alvares,9.051252E7,62417,3017084,0.020687856221437654,Karalda Nimwada,3.3187924E7,65223,3017084,0.02161789330360043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_19,6034168.0,8.7495436E7,5.4307512E7,3.017084E7,7.2410016E7,5.298753775E7,8.47800604E8,10526.0,15139.0,12832.0,11444.0,13042.0,12561.125,200978.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,4.8273344E7,0.00348879911861917,0.005017758869159758,0.004253113270959642,0.0037930664177729225,0.00432271690148501,0.004163332873728408,0.06661332597965453,Kim Passa,6.3358764E7,10593,3017084,0.003511005991215359,Clement Duchot,6034168.0,12034,3017084,0.003988619474963243,Nico Ojenbeer,5.4307512E7,12911,3017084,0.004279297493871566,Fjodor Kowalski,7.2410016E7,12855,3017084,0.004260736525731468,Elvira Lores,3.3187924E7,10872,3017084,0.0036034793860562054,Esmana Liubiata,5.4307512E7,13042,3017084,0.00432271690148501,Alberto Duport,6.6375848E7,14326,3017084,0.00474829338526869,Christian Francois,7.2410016E7,12037,3017084,0.003989613812542176,Anna Kaufmann,8.7495436E7,12832,3017084,0.004253113270959642,Heinz Gutschmidt,5.4307512E7,11444,3017084,0.0037930664177729225,Miu Hanwan,2.1119588E7,10526,3017084,0.00348879911861917,Maris Freeman,2.1119588E7,11912,3017084,0.0039481830800866,Tesca Lobes,8.4478352E7,13385,3017084,0.004436402831343111,Anne Olwada,7.8444184E7,15139,3017084,0.005017758869159758,Immanuel Karagianni,4.8273344E7,14146,3017084,0.00468863313053266,Penn Osterwalder,3.017084E7,12924,3017084,0.004283606290046946
